name;link;KOI;massJupiter;massEarth;radiusJupiter;radiusEarth;density;temp;transit;period;sma;ecc;inc;dist
;http://kepler.nasa.govundefined;;1;317.82;1;11.21;1.33;124;;4330.6;5.204;0.0484;;
;http://kepler.nasa.govundefined;;;;;;;;;;;;;
Kepler-1b;http://kepler.nasa.gov/Mission/discoveries/kepler1b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00001.01&type=KEPLER_CANDIDATE;1.199;381.1;1.272;14.258;0.77;1394;1.7246;2.47063;0.03556;;83.62;213
Kepler-2b;http://kepler.nasa.gov/Mission/discoveries/kepler2b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00002.01&type=KEPLER_CANDIDATE;1.776;564.44;1.342;15.043;;2733;4.044;2.204737;0.0377;;83.111;320
Kepler-3b;http://kepler.nasa.gov/Mission/discoveries/kepler3b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00003.01&type=KEPLER_CANDIDATE;0.081;25.74;0.422;4.73;1.33;878;2.2968;4.8878162;0.053;0.198;88.5;38
Kepler-4b;http://kepler.nasa.gov/Mission/discoveries/kepler4b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00007.01&type=KEPLER_CANDIDATE;0.077;24.47;0.357;4.002;1.91;1650;4.1109;3.21346;0.0456;;89.76;550
Kepler-5b;http://kepler.nasa.gov/Mission/discoveries/kepler5b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00018.01&type=KEPLER_CANDIDATE;2.114;671.86;1.431;16.04;0.894;1868;4.0811;3.54846;0.05064;;86.3;
Kepler-6b;http://kepler.nasa.gov/Mission/discoveries/kepler6b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00017.01&type=KEPLER_CANDIDATE;0.669;212.62;1.323;14.83;0.352;1500;3.6016;3.234723;0.04567;;86.8;
Kepler-7b;http://kepler.nasa.gov/Mission/discoveries/kepler7b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00097.01&type=KEPLER_CANDIDATE;0.433;137.62;1.478;16.567;0.166;1540;4.6296;4.885525;0.06224;;86.5;
Kepler-8b;http://kepler.nasa.gov/Mission/discoveries/kepler8b;http://exoplanetarchive.ipac.caltech.edu/cgi-bin/DisplayOverview/nph-DisplayOverview?objname=K00010.01&type=KEPLER_CANDIDATE;0.603;191.64;1.419;15.906;0.261;1764;3.1984;3.52254;0.0483;;84.07;1330
